,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys that the fathers liked saw themselves . <eos>,The boys that the fathers liked saw themselves .,the boys that the fathers liked saw ***mask*** .,0.030652773356594207
1,1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers that the boys liked saw themselves . <eos>,The fathers that the boys liked saw themselves .,the fathers that the boys liked saw ***mask*** .,0.04717329086298575
2,1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls that the mothers liked saw themselves . <eos>,The girls that the mothers liked saw themselves .,the girls that the mothers liked saw ***mask*** .,0.015114519090813697
3,1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers that the girls liked saw themselves . <eos>,The mothers that the girls liked saw themselves .,the mothers that the girls liked saw ***mask*** .,0.021705010583235616
4,1,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,saw,themselves,The boy that the fathers liked saw themselves . <eos>,The boy that the fathers liked saw themselves .,the boy that the fathers liked saw ***mask*** .,0.4179665063673657
5,1,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,saw,themselves,The father that the boys liked saw themselves . <eos>,The father that the boys liked saw themselves .,the father that the boys liked saw ***mask*** .,0.3957315673679424
6,1,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,saw,themselves,The girl that the mothers liked saw themselves . <eos>,The girl that the mothers liked saw themselves .,the girl that the mothers liked saw ***mask*** .,0.4233037790021033
7,1,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,saw,themselves,The mother that the girls liked saw themselves . <eos>,The mother that the girls liked saw themselves .,the mother that the girls liked saw ***mask*** .,0.3096406262203196
8,1,simple,local,c-command,1,a,male,rc_subj,number,boys,father,saw,themselves,The boys that the father liked saw themselves . <eos>,The boys that the father liked saw themselves .,the boys that the father liked saw ***mask*** .,0.027958094544314707
9,1,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,saw,themselves,The fathers that the boy liked saw themselves . <eos>,The fathers that the boy liked saw themselves .,the fathers that the boy liked saw ***mask*** .,0.03535317203167059
10,1,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,saw,themselves,The girls that the mother liked saw themselves . <eos>,The girls that the mother liked saw themselves .,the girls that the mother liked saw ***mask*** .,0.01587261104807608
11,1,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,saw,themselves,The mothers that the girl liked saw themselves . <eos>,The mothers that the girl liked saw themselves .,the mothers that the girl liked saw ***mask*** .,0.02492560251725657
12,2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys that the fathers liked established themselves . <eos>,The boys that the fathers liked established themselves .,the boys that the fathers liked established ***mask*** .,9.626297396996302e-06
13,2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers that the boys liked established themselves . <eos>,The fathers that the boys liked established themselves .,the fathers that the boys liked established ***mask*** .,2.5308453524488708e-05
14,2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls that the mothers liked established themselves . <eos>,The girls that the mothers liked established themselves .,the girls that the mothers liked established ***mask*** .,8.046782625540924e-06
15,2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers that the girls liked established themselves . <eos>,The mothers that the girls liked established themselves .,the mothers that the girls liked established ***mask*** .,9.330217298992728e-06
16,2,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,established,themselves,The boy that the fathers liked established themselves . <eos>,The boy that the fathers liked established themselves .,the boy that the fathers liked established ***mask*** .,0.001435374459966952
17,2,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,established,themselves,The father that the boys liked established themselves . <eos>,The father that the boys liked established themselves .,the father that the boys liked established ***mask*** .,0.001401554918559235
18,2,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,established,themselves,The girl that the mothers liked established themselves . <eos>,The girl that the mothers liked established themselves .,the girl that the mothers liked established ***mask*** .,0.00012551759430593168
19,2,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,established,themselves,The mother that the girls liked established themselves . <eos>,The mother that the girls liked established themselves .,the mother that the girls liked established ***mask*** .,0.000266858366379437
20,2,simple,local,c-command,1,a,male,rc_subj,number,boys,father,established,themselves,The boys that the father liked established themselves . <eos>,The boys that the father liked established themselves .,the boys that the father liked established ***mask*** .,8.994579055682754e-06
21,2,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,established,themselves,The fathers that the boy liked established themselves . <eos>,The fathers that the boy liked established themselves .,the fathers that the boy liked established ***mask*** .,3.671116213834032e-05
22,2,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,established,themselves,The girls that the mother liked established themselves . <eos>,The girls that the mother liked established themselves .,the girls that the mother liked established ***mask*** .,1.2799618902135894e-05
23,2,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,established,themselves,The mothers that the girl liked established themselves . <eos>,The mothers that the girl liked established themselves .,the mothers that the girl liked established ***mask*** .,1.6390281235549874e-05
24,3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys that the fathers liked devoted themselves . <eos>,The boys that the fathers liked devoted themselves .,the boys that the fathers liked devoted ***mask*** .,0.034294266321290394
25,3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers that the boys liked devoted themselves . <eos>,The fathers that the boys liked devoted themselves .,the fathers that the boys liked devoted ***mask*** .,0.023898729926310987
26,3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls that the mothers liked devoted themselves . <eos>,The girls that the mothers liked devoted themselves .,the girls that the mothers liked devoted ***mask*** .,0.02727102843310746
27,3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers that the girls liked devoted themselves . <eos>,The mothers that the girls liked devoted themselves .,the mothers that the girls liked devoted ***mask*** .,0.016001489382136858
28,3,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,devoted,themselves,The boy that the fathers liked devoted themselves . <eos>,The boy that the fathers liked devoted themselves .,the boy that the fathers liked devoted ***mask*** .,0.12780956849946176
29,3,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,devoted,themselves,The father that the boys liked devoted themselves . <eos>,The father that the boys liked devoted themselves .,the father that the boys liked devoted ***mask*** .,0.10438279138756806
30,3,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,devoted,themselves,The girl that the mothers liked devoted themselves . <eos>,The girl that the mothers liked devoted themselves .,the girl that the mothers liked devoted ***mask*** .,0.1049993805316374
31,3,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,devoted,themselves,The mother that the girls liked devoted themselves . <eos>,The mother that the girls liked devoted themselves .,the mother that the girls liked devoted ***mask*** .,0.054072219394244184
32,3,simple,local,c-command,1,a,male,rc_subj,number,boys,father,devoted,themselves,The boys that the father liked devoted themselves . <eos>,The boys that the father liked devoted themselves .,the boys that the father liked devoted ***mask*** .,0.03525257236403679
33,3,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,devoted,themselves,The fathers that the boy liked devoted themselves . <eos>,The fathers that the boy liked devoted themselves .,the fathers that the boy liked devoted ***mask*** .,0.07535366789342554
34,3,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,devoted,themselves,The girls that the mother liked devoted themselves . <eos>,The girls that the mother liked devoted themselves .,the girls that the mother liked devoted ***mask*** .,0.024069505400374915
35,3,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,devoted,themselves,The mothers that the girl liked devoted themselves . <eos>,The mothers that the girl liked devoted themselves .,the mothers that the girl liked devoted ***mask*** .,0.026358923317974844
36,4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys that the fathers liked considered themselves . <eos>,The boys that the fathers liked considered themselves .,the boys that the fathers liked considered ***mask*** .,0.0006191685707820362
