item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys near the fathers saw themselves . <eos>,The boys near the fathers saw themselves .
1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers near the boys saw themselves . <eos>,The fathers near the boys saw themselves .
1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls near the mothers saw themselves . <eos>,The girls near the mothers saw themselves .
1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers near the girls saw themselves . <eos>,The mothers near the girls saw themselves .
1,simple,local,no-c-command,0,a,male,head,number,boy,fathers,saw,themselves,The boy near the fathers saw themselves . <eos>,The boy near the fathers saw themselves .
1,simple,local,no-c-command,0,b,male,head,number,father,boys,saw,themselves,The father near the boys saw themselves . <eos>,The father near the boys saw themselves .
1,simple,local,no-c-command,0,a,female,head,number,girl,mothers,saw,themselves,The girl near the mothers saw themselves . <eos>,The girl near the mothers saw themselves .
1,simple,local,no-c-command,0,b,female,head,number,mother,girls,saw,themselves,The mother near the girls saw themselves . <eos>,The mother near the girls saw themselves .
1,simple,local,c-command,1,a,male,distractor,number,boys,father,saw,themselves,The boys near the father saw themselves . <eos>,The boys near the father saw themselves .
1,simple,local,c-command,1,b,male,distractor,number,fathers,boy,saw,themselves,The fathers near the boy saw themselves . <eos>,The fathers near the boy saw themselves .
1,simple,local,c-command,1,a,female,distractor,number,girls,mother,saw,themselves,The girls near the mother saw themselves . <eos>,The girls near the mother saw themselves .
1,simple,local,c-command,1,b,female,distractor,number,mothers,girl,saw,themselves,The mothers near the girl saw themselves . <eos>,The mothers near the girl saw themselves .
2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys near the fathers established themselves . <eos>,The boys near the fathers established themselves .
2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers near the boys established themselves . <eos>,The fathers near the boys established themselves .
2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls near the mothers established themselves . <eos>,The girls near the mothers established themselves .
2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers near the girls established themselves . <eos>,The mothers near the girls established themselves .
2,simple,local,no-c-command,0,a,male,head,number,boy,fathers,established,themselves,The boy near the fathers established themselves . <eos>,The boy near the fathers established themselves .
2,simple,local,no-c-command,0,b,male,head,number,father,boys,established,themselves,The father near the boys established themselves . <eos>,The father near the boys established themselves .
2,simple,local,no-c-command,0,a,female,head,number,girl,mothers,established,themselves,The girl near the mothers established themselves . <eos>,The girl near the mothers established themselves .
2,simple,local,no-c-command,0,b,female,head,number,mother,girls,established,themselves,The mother near the girls established themselves . <eos>,The mother near the girls established themselves .
2,simple,local,c-command,1,a,male,distractor,number,boys,father,established,themselves,The boys near the father established themselves . <eos>,The boys near the father established themselves .
2,simple,local,c-command,1,b,male,distractor,number,fathers,boy,established,themselves,The fathers near the boy established themselves . <eos>,The fathers near the boy established themselves .
2,simple,local,c-command,1,a,female,distractor,number,girls,mother,established,themselves,The girls near the mother established themselves . <eos>,The girls near the mother established themselves .
2,simple,local,c-command,1,b,female,distractor,number,mothers,girl,established,themselves,The mothers near the girl established themselves . <eos>,The mothers near the girl established themselves .
3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys near the fathers devoted themselves . <eos>,The boys near the fathers devoted themselves .
3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers near the boys devoted themselves . <eos>,The fathers near the boys devoted themselves .
3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls near the mothers devoted themselves . <eos>,The girls near the mothers devoted themselves .
3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers near the girls devoted themselves . <eos>,The mothers near the girls devoted themselves .
3,simple,local,no-c-command,0,a,male,head,number,boy,fathers,devoted,themselves,The boy near the fathers devoted themselves . <eos>,The boy near the fathers devoted themselves .
3,simple,local,no-c-command,0,b,male,head,number,father,boys,devoted,themselves,The father near the boys devoted themselves . <eos>,The father near the boys devoted themselves .
3,simple,local,no-c-command,0,a,female,head,number,girl,mothers,devoted,themselves,The girl near the mothers devoted themselves . <eos>,The girl near the mothers devoted themselves .
3,simple,local,no-c-command,0,b,female,head,number,mother,girls,devoted,themselves,The mother near the girls devoted themselves . <eos>,The mother near the girls devoted themselves .
3,simple,local,c-command,1,a,male,distractor,number,boys,father,devoted,themselves,The boys near the father devoted themselves . <eos>,The boys near the father devoted themselves .
3,simple,local,c-command,1,b,male,distractor,number,fathers,boy,devoted,themselves,The fathers near the boy devoted themselves . <eos>,The fathers near the boy devoted themselves .
3,simple,local,c-command,1,a,female,distractor,number,girls,mother,devoted,themselves,The girls near the mother devoted themselves . <eos>,The girls near the mother devoted themselves .
3,simple,local,c-command,1,b,female,distractor,number,mothers,girl,devoted,themselves,The mothers near the girl devoted themselves . <eos>,The mothers near the girl devoted themselves .
4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys near the fathers considered themselves . <eos>,The boys near the fathers considered themselves .
4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers near the boys considered themselves . <eos>,The fathers near the boys considered themselves .
4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls near the mothers considered themselves . <eos>,The girls near the mothers considered themselves .
4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers near the girls considered themselves . <eos>,The mothers near the girls considered themselves .
4,simple,local,no-c-command,0,a,male,head,number,boy,fathers,considered,themselves,The boy near the fathers considered themselves . <eos>,The boy near the fathers considered themselves .
4,simple,local,no-c-command,0,b,male,head,number,father,boys,considered,themselves,The father near the boys considered themselves . <eos>,The father near the boys considered themselves .
4,simple,local,no-c-command,0,a,female,head,number,girl,mothers,considered,themselves,The girl near the mothers considered themselves . <eos>,The girl near the mothers considered themselves .
4,simple,local,no-c-command,0,b,female,head,number,mother,girls,considered,themselves,The mother near the girls considered themselves . <eos>,The mother near the girls considered themselves .
4,simple,local,c-command,1,a,male,distractor,number,boys,father,considered,themselves,The boys near the father considered themselves . <eos>,The boys near the father considered themselves .
4,simple,local,c-command,1,b,male,distractor,number,fathers,boy,considered,themselves,The fathers near the boy considered themselves . <eos>,The fathers near the boy considered themselves .
4,simple,local,c-command,1,a,female,distractor,number,girls,mother,considered,themselves,The girls near the mother considered themselves . <eos>,The girls near the mother considered themselves .
4,simple,local,c-command,1,b,female,distractor,number,mothers,girl,considered,themselves,The mothers near the girl considered themselves . <eos>,The mothers near the girl considered themselves .
5,simple,local,c-command,1,a,male,none,none,boys,fathers,identified,themselves,The boys near the fathers identified themselves . <eos>,The boys near the fathers identified themselves .
5,simple,local,c-command,1,b,male,none,none,fathers,boys,identified,themselves,The fathers near the boys identified themselves . <eos>,The fathers near the boys identified themselves .
5,simple,local,c-command,1,a,female,none,none,girls,mothers,identified,themselves,The girls near the mothers identified themselves . <eos>,The girls near the mothers identified themselves .
5,simple,local,c-command,1,b,female,none,none,mothers,girls,identified,themselves,The mothers near the girls identified themselves . <eos>,The mothers near the girls identified themselves .
5,simple,local,no-c-command,0,a,male,head,number,boy,fathers,identified,themselves,The boy near the fathers identified themselves . <eos>,The boy near the fathers identified themselves .
5,simple,local,no-c-command,0,b,male,head,number,father,boys,identified,themselves,The father near the boys identified themselves . <eos>,The father near the boys identified themselves .
5,simple,local,no-c-command,0,a,female,head,number,girl,mothers,identified,themselves,The girl near the mothers identified themselves . <eos>,The girl near the mothers identified themselves .
5,simple,local,no-c-command,0,b,female,head,number,mother,girls,identified,themselves,The mother near the girls identified themselves . <eos>,The mother near the girls identified themselves .
5,simple,local,c-command,1,a,male,distractor,number,boys,father,identified,themselves,The boys near the father identified themselves . <eos>,The boys near the father identified themselves .
5,simple,local,c-command,1,b,male,distractor,number,fathers,boy,identified,themselves,The fathers near the boy identified themselves . <eos>,The fathers near the boy identified themselves .
5,simple,local,c-command,1,a,female,distractor,number,girls,mother,identified,themselves,The girls near the mother identified themselves . <eos>,The girls near the mother identified themselves .
5,simple,local,c-command,1,b,female,distractor,number,mothers,girl,identified,themselves,The mothers near the girl identified themselves . <eos>,The mothers near the girl identified themselves .
6,simple,local,c-command,1,a,male,none,none,boys,fathers,made,themselves,The boys near the fathers made themselves . <eos>,The boys near the fathers made themselves .
6,simple,local,c-command,1,b,male,none,none,fathers,boys,made,themselves,The fathers near the boys made themselves . <eos>,The fathers near the boys made themselves .
6,simple,local,c-command,1,a,female,none,none,girls,mothers,made,themselves,The girls near the mothers made themselves . <eos>,The girls near the mothers made themselves .
6,simple,local,c-command,1,b,female,none,none,mothers,girls,made,themselves,The mothers near the girls made themselves . <eos>,The mothers near the girls made themselves .
6,simple,local,no-c-command,0,a,male,head,number,boy,fathers,made,themselves,The boy near the fathers made themselves . <eos>,The boy near the fathers made themselves .
6,simple,local,no-c-command,0,b,male,head,number,father,boys,made,themselves,The father near the boys made themselves . <eos>,The father near the boys made themselves .
6,simple,local,no-c-command,0,a,female,head,number,girl,mothers,made,themselves,The girl near the mothers made themselves . <eos>,The girl near the mothers made themselves .
6,simple,local,no-c-command,0,b,female,head,number,mother,girls,made,themselves,The mother near the girls made themselves . <eos>,The mother near the girls made themselves .
6,simple,local,c-command,1,a,male,distractor,number,boys,father,made,themselves,The boys near the father made themselves . <eos>,The boys near the father made themselves .
6,simple,local,c-command,1,b,male,distractor,number,fathers,boy,made,themselves,The fathers near the boy made themselves . <eos>,The fathers near the boy made themselves .
6,simple,local,c-command,1,a,female,distractor,number,girls,mother,made,themselves,The girls near the mother made themselves . <eos>,The girls near the mother made themselves .
6,simple,local,c-command,1,b,female,distractor,number,mothers,girl,made,themselves,The mothers near the girl made themselves . <eos>,The mothers near the girl made themselves .
7,simple,local,c-command,1,a,male,none,none,boys,fathers,found,themselves,The boys near the fathers found themselves . <eos>,The boys near the fathers found themselves .
7,simple,local,c-command,1,b,male,none,none,fathers,boys,found,themselves,The fathers near the boys found themselves . <eos>,The fathers near the boys found themselves .
7,simple,local,c-command,1,a,female,none,none,girls,mothers,found,themselves,The girls near the mothers found themselves . <eos>,The girls near the mothers found themselves .
7,simple,local,c-command,1,b,female,none,none,mothers,girls,found,themselves,The mothers near the girls found themselves . <eos>,The mothers near the girls found themselves .
7,simple,local,no-c-command,0,a,male,head,number,boy,fathers,found,themselves,The boy near the fathers found themselves . <eos>,The boy near the fathers found themselves .
7,simple,local,no-c-command,0,b,male,head,number,father,boys,found,themselves,The father near the boys found themselves . <eos>,The father near the boys found themselves .
7,simple,local,no-c-command,0,a,female,head,number,girl,mothers,found,themselves,The girl near the mothers found themselves . <eos>,The girl near the mothers found themselves .
7,simple,local,no-c-command,0,b,female,head,number,mother,girls,found,themselves,The mother near the girls found themselves . <eos>,The mother near the girls found themselves .
7,simple,local,c-command,1,a,male,distractor,number,boys,father,found,themselves,The boys near the father found themselves . <eos>,The boys near the father found themselves .
7,simple,local,c-command,1,b,male,distractor,number,fathers,boy,found,themselves,The fathers near the boy found themselves . <eos>,The fathers near the boy found themselves .
7,simple,local,c-command,1,a,female,distractor,number,girls,mother,found,themselves,The girls near the mother found themselves . <eos>,The girls near the mother found themselves .
7,simple,local,c-command,1,b,female,distractor,number,mothers,girl,found,themselves,The mothers near the girl found themselves . <eos>,The mothers near the girl found themselves .
8,simple,local,c-command,1,a,male,none,none,boys,fathers,distinguished,themselves,The boys near the fathers distinguished themselves . <eos>,The boys near the fathers distinguished themselves .
