item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,c-command,1,a,none,none,girl,mother,saw,herself,The girl near the mother saw herself . <eos>,The girl near the mother saw herself .
1,simple,local,c-command,1,b,none,none,mother,girl,saw,herself,The mother near the girl saw herself . <eos>,The mother near the girl saw herself .
1,simple,local,no-c-command,0,a,head,number,girls,mother,saw,herself,The girls near the mother saw herself . <eos>,The girls near the mother saw herself .
1,simple,local,no-c-command,0,b,head,number,mothers,girl,saw,herself,The mothers near the girl saw herself . <eos>,The mothers near the girl saw herself .
1,simple,local,c-command,1,a,distractor,number,girl,mothers,saw,herself,The girl near the mothers saw herself . <eos>,The girl near the mothers saw herself .
1,simple,local,c-command,1,b,distractor,number,mother,girls,saw,herself,The mother near the girls saw herself . <eos>,The mother near the girls saw herself .
2,simple,local,c-command,1,a,none,none,girl,mother,established,herself,The girl near the mother established herself . <eos>,The girl near the mother established herself .
2,simple,local,c-command,1,b,none,none,mother,girl,established,herself,The mother near the girl established herself . <eos>,The mother near the girl established herself .
2,simple,local,no-c-command,0,a,head,number,girls,mother,established,herself,The girls near the mother established herself . <eos>,The girls near the mother established herself .
2,simple,local,no-c-command,0,b,head,number,mothers,girl,established,herself,The mothers near the girl established herself . <eos>,The mothers near the girl established herself .
2,simple,local,c-command,1,a,distractor,number,girl,mothers,established,herself,The girl near the mothers established herself . <eos>,The girl near the mothers established herself .
2,simple,local,c-command,1,b,distractor,number,mother,girls,established,herself,The mother near the girls established herself . <eos>,The mother near the girls established herself .
3,simple,local,c-command,1,a,none,none,girl,mother,devoted,herself,The girl near the mother devoted herself . <eos>,The girl near the mother devoted herself .
3,simple,local,c-command,1,b,none,none,mother,girl,devoted,herself,The mother near the girl devoted herself . <eos>,The mother near the girl devoted herself .
3,simple,local,no-c-command,0,a,head,number,girls,mother,devoted,herself,The girls near the mother devoted herself . <eos>,The girls near the mother devoted herself .
3,simple,local,no-c-command,0,b,head,number,mothers,girl,devoted,herself,The mothers near the girl devoted herself . <eos>,The mothers near the girl devoted herself .
3,simple,local,c-command,1,a,distractor,number,girl,mothers,devoted,herself,The girl near the mothers devoted herself . <eos>,The girl near the mothers devoted herself .
3,simple,local,c-command,1,b,distractor,number,mother,girls,devoted,herself,The mother near the girls devoted herself . <eos>,The mother near the girls devoted herself .
