,item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,male,none,none,boys,fathers,saw,themselves,The boys that the fathers liked saw themselves . <eos>,The boys that the fathers liked saw themselves .,the boys that the fathers liked saw ***mask*** .,9.117422247223928
1,1,simple,local,c-command,1,b,male,none,none,fathers,boys,saw,themselves,The fathers that the boys liked saw themselves . <eos>,The fathers that the boys liked saw themselves .,the fathers that the boys liked saw ***mask*** .,9.43850484006985
2,1,simple,local,c-command,1,a,female,none,none,girls,mothers,saw,themselves,The girls that the mothers liked saw themselves . <eos>,The girls that the mothers liked saw themselves .,the girls that the mothers liked saw ***mask*** .,8.487490512022623
3,1,simple,local,c-command,1,b,female,none,none,mothers,girls,saw,themselves,The mothers that the girls liked saw themselves . <eos>,The mothers that the girls liked saw themselves .,the mothers that the girls liked saw ***mask*** .,9.053705423419698
4,1,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,saw,themselves,The boy that the fathers liked saw themselves . <eos>,The boy that the fathers liked saw themselves .,the boy that the fathers liked saw ***mask*** .,12.546447265478555
5,1,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,saw,themselves,The father that the boys liked saw themselves . <eos>,The father that the boys liked saw themselves .,the father that the boys liked saw ***mask*** .,12.588171479580597
6,1,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,saw,themselves,The girl that the mothers liked saw themselves . <eos>,The girl that the mothers liked saw themselves .,the girl that the mothers liked saw ***mask*** .,13.01607605585987
7,1,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,saw,themselves,The mother that the girls liked saw themselves . <eos>,The mother that the girls liked saw themselves .,the mother that the girls liked saw ***mask*** .,12.727048212682545
8,1,simple,local,c-command,1,a,male,rc_subj,number,boys,father,saw,themselves,The boys that the father liked saw themselves . <eos>,The boys that the father liked saw themselves .,the boys that the father liked saw ***mask*** .,9.040184534040126
9,1,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,saw,themselves,The fathers that the boy liked saw themselves . <eos>,The fathers that the boy liked saw themselves .,the fathers that the boy liked saw ***mask*** .,9.193549302062074
10,1,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,saw,themselves,The girls that the mother liked saw themselves . <eos>,The girls that the mother liked saw themselves .,the girls that the mother liked saw ***mask*** .,8.647171231251304
11,1,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,saw,themselves,The mothers that the girl liked saw themselves . <eos>,The mothers that the girl liked saw themselves .,the mothers that the girl liked saw ***mask*** .,9.261730506832546
12,2,simple,local,c-command,1,a,male,none,none,boys,fathers,established,themselves,The boys that the fathers liked established themselves . <eos>,The boys that the fathers liked established themselves .,the boys that the fathers liked established ***mask*** .,0.22620309601732613
13,2,simple,local,c-command,1,b,male,none,none,fathers,boys,established,themselves,The fathers that the boys liked established themselves . <eos>,The fathers that the boys liked established themselves .,the fathers that the boys liked established ***mask*** .,0.5751717193651296
14,2,simple,local,c-command,1,a,female,none,none,girls,mothers,established,themselves,The girls that the mothers liked established themselves . <eos>,The girls that the mothers liked established themselves .,the girls that the mothers liked established ***mask*** .,0.2449895928040818
15,2,simple,local,c-command,1,b,female,none,none,mothers,girls,established,themselves,The mothers that the girls liked established themselves . <eos>,The mothers that the girls liked established themselves .,the mothers that the girls liked established ***mask*** .,0.3582587926265352
16,2,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,established,themselves,The boy that the fathers liked established themselves . <eos>,The boy that the fathers liked established themselves .,the boy that the fathers liked established ***mask*** .,3.6623880331631216
17,2,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,established,themselves,The father that the boys liked established themselves . <eos>,The father that the boys liked established themselves .,the father that the boys liked established ***mask*** .,5.013518719590927
18,2,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,established,themselves,The girl that the mothers liked established themselves . <eos>,The girl that the mothers liked established themselves .,the girl that the mothers liked established ***mask*** .,1.2351929844617284
19,2,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,established,themselves,The mother that the girls liked established themselves . <eos>,The mother that the girls liked established themselves .,the mother that the girls liked established ***mask*** .,2.610205096883048
20,2,simple,local,c-command,1,a,male,rc_subj,number,boys,father,established,themselves,The boys that the father liked established themselves . <eos>,The boys that the father liked established themselves .,the boys that the father liked established ***mask*** .,0.2715436302283405
21,2,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,established,themselves,The fathers that the boy liked established themselves . <eos>,The fathers that the boy liked established themselves .,the fathers that the boy liked established ***mask*** .,0.8371867445490695
22,2,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,established,themselves,The girls that the mother liked established themselves . <eos>,The girls that the mother liked established themselves .,the girls that the mother liked established ***mask*** .,0.5859459316569393
23,2,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,established,themselves,The mothers that the girl liked established themselves . <eos>,The mothers that the girl liked established themselves .,the mothers that the girl liked established ***mask*** .,0.5473295468695223
24,3,simple,local,c-command,1,a,male,none,none,boys,fathers,devoted,themselves,The boys that the fathers liked devoted themselves . <eos>,The boys that the fathers liked devoted themselves .,the boys that the fathers liked devoted ***mask*** .,12.952746424646147
25,3,simple,local,c-command,1,b,male,none,none,fathers,boys,devoted,themselves,The fathers that the boys liked devoted themselves . <eos>,The fathers that the boys liked devoted themselves .,the fathers that the boys liked devoted ***mask*** .,12.11126603964612
26,3,simple,local,c-command,1,a,female,none,none,girls,mothers,devoted,themselves,The girls that the mothers liked devoted themselves . <eos>,The girls that the mothers liked devoted themselves .,the girls that the mothers liked devoted ***mask*** .,13.740101319498319
27,3,simple,local,c-command,1,b,female,none,none,mothers,girls,devoted,themselves,The mothers that the girls liked devoted themselves . <eos>,The mothers that the girls liked devoted themselves .,the mothers that the girls liked devoted ***mask*** .,12.40420472554977
28,3,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,devoted,themselves,The boy that the fathers liked devoted themselves . <eos>,The boy that the fathers liked devoted themselves .,the boy that the fathers liked devoted ***mask*** .,15.848980053525885
29,3,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,devoted,themselves,The father that the boys liked devoted themselves . <eos>,The father that the boys liked devoted themselves .,the father that the boys liked devoted ***mask*** .,14.339482619481176
30,3,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,devoted,themselves,The girl that the mothers liked devoted themselves . <eos>,The girl that the mothers liked devoted themselves .,the girl that the mothers liked devoted ***mask*** .,15.656088741015083
31,3,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,devoted,themselves,The mother that the girls liked devoted themselves . <eos>,The mother that the girls liked devoted themselves .,the mother that the girls liked devoted ***mask*** .,14.691148285741196
32,3,simple,local,c-command,1,a,male,rc_subj,number,boys,father,devoted,themselves,The boys that the father liked devoted themselves . <eos>,The boys that the father liked devoted themselves .,the boys that the father liked devoted ***mask*** .,13.116616694059845
33,3,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,devoted,themselves,The fathers that the boy liked devoted themselves . <eos>,The fathers that the boy liked devoted themselves .,the fathers that the boy liked devoted ***mask*** .,13.559878417613463
34,3,simple,local,c-command,1,a,female,rc_subj,number,girls,mother,devoted,themselves,The girls that the mother liked devoted themselves . <eos>,The girls that the mother liked devoted themselves .,the girls that the mother liked devoted ***mask*** .,13.739754062211212
35,3,simple,local,c-command,1,b,female,rc_subj,number,mothers,girl,devoted,themselves,The mothers that the girl liked devoted themselves . <eos>,The mothers that the girl liked devoted themselves .,the mothers that the girl liked devoted ***mask*** .,12.772585297494057
36,4,simple,local,c-command,1,a,male,none,none,boys,fathers,considered,themselves,The boys that the fathers liked considered themselves . <eos>,The boys that the fathers liked considered themselves .,the boys that the fathers liked considered ***mask*** .,4.666199875384173
37,4,simple,local,c-command,1,b,male,none,none,fathers,boys,considered,themselves,The fathers that the boys liked considered themselves . <eos>,The fathers that the boys liked considered themselves .,the fathers that the boys liked considered ***mask*** .,5.86771899311263
38,4,simple,local,c-command,1,a,female,none,none,girls,mothers,considered,themselves,The girls that the mothers liked considered themselves . <eos>,The girls that the mothers liked considered themselves .,the girls that the mothers liked considered ***mask*** .,6.0011696120424824
39,4,simple,local,c-command,1,b,female,none,none,mothers,girls,considered,themselves,The mothers that the girls liked considered themselves . <eos>,The mothers that the girls liked considered themselves .,the mothers that the girls liked considered ***mask*** .,5.505301251234504
40,4,simple,local,no-c-command,0,a,male,matrix_subj,number,boy,fathers,considered,themselves,The boy that the fathers liked considered themselves . <eos>,The boy that the fathers liked considered themselves .,the boy that the fathers liked considered ***mask*** .,11.018456234492064
41,4,simple,local,no-c-command,0,b,male,matrix_subj,number,father,boys,considered,themselves,The father that the boys liked considered themselves . <eos>,The father that the boys liked considered themselves .,the father that the boys liked considered ***mask*** .,12.435263323993714
42,4,simple,local,no-c-command,0,a,female,matrix_subj,number,girl,mothers,considered,themselves,The girl that the mothers liked considered themselves . <eos>,The girl that the mothers liked considered themselves .,the girl that the mothers liked considered ***mask*** .,11.118315614711317
43,4,simple,local,no-c-command,0,b,female,matrix_subj,number,mother,girls,considered,themselves,The mother that the girls liked considered themselves . <eos>,The mother that the girls liked considered themselves .,the mother that the girls liked considered ***mask*** .,12.537287558704236
44,4,simple,local,c-command,1,a,male,rc_subj,number,boys,father,considered,themselves,The boys that the father liked considered themselves . <eos>,The boys that the father liked considered themselves .,the boys that the father liked considered ***mask*** .,5.018958880213191
45,4,simple,local,c-command,1,b,male,rc_subj,number,fathers,boy,considered,themselves,The fathers that the boy liked considered themselves . <eos>,The fathers that the boy liked considered themselves .,the fathers that the boy liked considered ***mask*** .,6.105287314692132
