item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,pronoun,sentence,sentence_no_eos
1,simple,local,no-c-command,1,a,none,none,boy,father,saw,him,The boy near the father saw him . <eos>,The boy near the father saw him .
1,simple,local,no-c-command,1,b,none,none,father,boy,saw,him,The father near the boy saw him . <eos>,The father near the boy saw him .
1,simple,local,no-c-command,1,a,head,number,boys,father,saw,him,The boys near the father saw him . <eos>,The boys near the father saw him .
1,simple,local,no-c-command,1,b,head,number,fathers,boy,saw,him,The fathers near the boy saw him . <eos>,The fathers near the boy saw him .
1,simple,local,c-command,0,a,distractor,number,boy,fathers,saw,him,The boy near the fathers saw him . <eos>,The boy near the fathers saw him .
1,simple,local,c-command,0,b,distractor,number,father,boys,saw,him,The father near the boys saw him . <eos>,The father near the boys saw him .
2,simple,local,no-c-command,1,a,none,none,boy,father,established,him,The boy near the father established him . <eos>,The boy near the father established him .
2,simple,local,no-c-command,1,b,none,none,father,boy,established,him,The father near the boy established him . <eos>,The father near the boy established him .
2,simple,local,no-c-command,1,a,head,number,boys,father,established,him,The boys near the father established him . <eos>,The boys near the father established him .
2,simple,local,no-c-command,1,b,head,number,fathers,boy,established,him,The fathers near the boy established him . <eos>,The fathers near the boy established him .
2,simple,local,c-command,0,a,distractor,number,boy,fathers,established,him,The boy near the fathers established him . <eos>,The boy near the fathers established him .
2,simple,local,c-command,0,b,distractor,number,father,boys,established,him,The father near the boys established him . <eos>,The father near the boys established him .
3,simple,local,no-c-command,1,a,none,none,boy,father,devoted,him,The boy near the father devoted him . <eos>,The boy near the father devoted him .
3,simple,local,no-c-command,1,b,none,none,father,boy,devoted,him,The father near the boy devoted him . <eos>,The father near the boy devoted him .
3,simple,local,no-c-command,1,a,head,number,boys,father,devoted,him,The boys near the father devoted him . <eos>,The boys near the father devoted him .
3,simple,local,no-c-command,1,b,head,number,fathers,boy,devoted,him,The fathers near the boy devoted him . <eos>,The fathers near the boy devoted him .
3,simple,local,c-command,0,a,distractor,number,boy,fathers,devoted,him,The boy near the fathers devoted him . <eos>,The boy near the fathers devoted him .
3,simple,local,c-command,0,b,distractor,number,father,boys,devoted,him,The father near the boys devoted him . <eos>,The father near the boys devoted him .
4,simple,local,no-c-command,1,a,none,none,boy,father,considered,him,The boy near the father considered him . <eos>,The boy near the father considered him .
4,simple,local,no-c-command,1,b,none,none,father,boy,considered,him,The father near the boy considered him . <eos>,The father near the boy considered him .
4,simple,local,no-c-command,1,a,head,number,boys,father,considered,him,The boys near the father considered him . <eos>,The boys near the father considered him .
4,simple,local,no-c-command,1,b,head,number,fathers,boy,considered,him,The fathers near the boy considered him . <eos>,The fathers near the boy considered him .
4,simple,local,c-command,0,a,distractor,number,boy,fathers,considered,him,The boy near the fathers considered him . <eos>,The boy near the fathers considered him .
4,simple,local,c-command,0,b,distractor,number,father,boys,considered,him,The father near the boys considered him . <eos>,The father near the boys considered him .
5,simple,local,no-c-command,1,a,none,none,boy,father,identified,him,The boy near the father identified him . <eos>,The boy near the father identified him .
5,simple,local,no-c-command,1,b,none,none,father,boy,identified,him,The father near the boy identified him . <eos>,The father near the boy identified him .
5,simple,local,no-c-command,1,a,head,number,boys,father,identified,him,The boys near the father identified him . <eos>,The boys near the father identified him .
5,simple,local,no-c-command,1,b,head,number,fathers,boy,identified,him,The fathers near the boy identified him . <eos>,The fathers near the boy identified him .
5,simple,local,c-command,0,a,distractor,number,boy,fathers,identified,him,The boy near the fathers identified him . <eos>,The boy near the fathers identified him .
5,simple,local,c-command,0,b,distractor,number,father,boys,identified,him,The father near the boys identified him . <eos>,The father near the boys identified him .
6,simple,local,no-c-command,1,a,none,none,boy,father,made,him,The boy near the father made him . <eos>,The boy near the father made him .
6,simple,local,no-c-command,1,b,none,none,father,boy,made,him,The father near the boy made him . <eos>,The father near the boy made him .
6,simple,local,no-c-command,1,a,head,number,boys,father,made,him,The boys near the father made him . <eos>,The boys near the father made him .
6,simple,local,no-c-command,1,b,head,number,fathers,boy,made,him,The fathers near the boy made him . <eos>,The fathers near the boy made him .
6,simple,local,c-command,0,a,distractor,number,boy,fathers,made,him,The boy near the fathers made him . <eos>,The boy near the fathers made him .
6,simple,local,c-command,0,b,distractor,number,father,boys,made,him,The father near the boys made him . <eos>,The father near the boys made him .
7,simple,local,no-c-command,1,a,none,none,boy,father,found,him,The boy near the father found him . <eos>,The boy near the father found him .
7,simple,local,no-c-command,1,b,none,none,father,boy,found,him,The father near the boy found him . <eos>,The father near the boy found him .
