item,clause_type,locality,c-command,grammatical,counterbalance,subject,mismatch_position,mismatch_feature,head_noun,distractor_noun,verb,residual,sentence,sentence_no_eos
1,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
1,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
1,agree,local,c-command,1,a,female,none,none,girls,mothers,were,leaving,The girls near the mothers were leaving . <eos>,The girls near the mothers were leaving .
1,agree,local,c-command,1,b,female,none,none,mothers,girls,were,leaving,The mothers near the girls were leaving . <eos>,The mothers near the girls were leaving .
1,agree,local,no-c-command,0,a,male,head,number,boy,fathers,were,leaving,The boy near the fathers were leaving . <eos>,The boy near the fathers were leaving .
1,agree,local,no-c-command,0,b,male,head,number,father,boys,were,leaving,The father near the boys were leaving . <eos>,The father near the boys were leaving .
1,agree,local,no-c-command,0,a,female,head,number,girl,mothers,were,leaving,The girl near the mothers were leaving . <eos>,The girl near the mothers were leaving .
1,agree,local,no-c-command,0,b,female,head,number,mother,girls,were,leaving,The mother near the girls were leaving . <eos>,The mother near the girls were leaving .
1,agree,local,c-command,1,a,male,distractor,number,boys,father,were,leaving,The boys near the father were leaving . <eos>,The boys near the father were leaving .
1,agree,local,c-command,1,b,male,distractor,number,fathers,boy,were,leaving,The fathers near the boy were leaving . <eos>,The fathers near the boy were leaving .
1,agree,local,c-command,1,a,female,distractor,number,girls,mother,were,leaving,The girls near the mother were leaving . <eos>,The girls near the mother were leaving .
1,agree,local,c-command,1,b,female,distractor,number,mothers,girl,were,leaving,The mothers near the girl were leaving . <eos>,The mothers near the girl were leaving .
2,agree,local,c-command,1,a,male,none,none,boys,fathers,were,leaving,The boys near the fathers were leaving . <eos>,The boys near the fathers were leaving .
2,agree,local,c-command,1,b,male,none,none,fathers,boys,were,leaving,The fathers near the boys were leaving . <eos>,The fathers near the boys were leaving .
