,item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,embed,local,1,a,none,none,mechanics,authors,hurt,themselves,The mechanics said that the authors hurt themselves . <eos>,The mechanics said that the authors hurt themselves .,the mechanics said that the authors hurt ***mask*** .,0.0006042648138264914
1,1,embed,local,1,b,none,none,authors,mechanics,hurt,themselves,The authors said that the mechanics hurt themselves . <eos>,The authors said that the mechanics hurt themselves .,the authors said that the mechanics hurt ***mask*** .,0.0028022100789223603
2,1,embed,local,1,c,none,none,bankers,authors,hurt,themselves,The bankers said that the authors hurt themselves . <eos>,The bankers said that the authors hurt themselves .,the bankers said that the authors hurt ***mask*** .,0.0004276184809891792
3,1,embed,local,1,d,none,none,authors,bankers,hurt,themselves,The authors said that the bankers hurt themselves . <eos>,The authors said that the bankers hurt themselves .,the authors said that the bankers hurt ***mask*** .,0.0006549553689779554
4,1,embed,nonlocal,0,a,local_subj,number,mechanics,author,hurt,themselves,The mechanics said that the author hurt themselves . <eos>,The mechanics said that the author hurt themselves .,the mechanics said that the author hurt ***mask*** .,0.0028215900708847956
5,1,embed,nonlocal,0,b,local_subj,number,authors,mechanic,hurt,themselves,The authors said that the mechanic hurt themselves . <eos>,The authors said that the mechanic hurt themselves .,the authors said that the mechanic hurt ***mask*** .,0.005913541198981026
6,1,embed,nonlocal,0,c,local_subj,number,bankers,author,hurt,themselves,The bankers said that the author hurt themselves . <eos>,The bankers said that the author hurt themselves .,the bankers said that the author hurt ***mask*** .,0.0023565917131432197
7,1,embed,nonlocal,0,d,local_subj,number,authors,banker,hurt,themselves,The authors said that the banker hurt themselves . <eos>,The authors said that the banker hurt themselves .,the authors said that the banker hurt ***mask*** .,0.009313269999526553
8,1,embed,local,1,a,nonlocal_subj,number,mechanic,authors,hurt,themselves,The mechanic said that the authors hurt themselves . <eos>,The mechanic said that the authors hurt themselves .,the mechanic said that the authors hurt ***mask*** .,0.0004269222064823315
9,1,embed,local,1,b,nonlocal_subj,number,author,mechanics,hurt,themselves,The author said that the mechanics hurt themselves . <eos>,The author said that the mechanics hurt themselves .,the author said that the mechanics hurt ***mask*** .,0.0034930365265263
10,1,embed,local,1,c,nonlocal_subj,number,banker,authors,hurt,themselves,The banker said that the authors hurt themselves . <eos>,The banker said that the authors hurt themselves .,the banker said that the authors hurt ***mask*** .,0.0003746868127280241
11,1,embed,local,1,d,nonlocal_subj,number,author,bankers,hurt,themselves,The author said that the bankers hurt themselves . <eos>,The author said that the bankers hurt themselves .,the author said that the bankers hurt ***mask*** .,0.0017794846500814993
12,2,embed,local,1,a,none,none,mechanics,authors,injured,themselves,The mechanics said that the authors injured themselves . <eos>,The mechanics said that the authors injured themselves .,the mechanics said that the authors injured ***mask*** .,7.821629658191088e-05
13,2,embed,local,1,b,none,none,authors,mechanics,injured,themselves,The authors said that the mechanics injured themselves . <eos>,The authors said that the mechanics injured themselves .,the authors said that the mechanics injured ***mask*** .,0.00017798199037057138
14,2,embed,local,1,c,none,none,bankers,authors,injured,themselves,The bankers said that the authors injured themselves . <eos>,The bankers said that the authors injured themselves .,the bankers said that the authors injured ***mask*** .,1.9591299693753954e-05
15,2,embed,local,1,d,none,none,authors,bankers,injured,themselves,The authors said that the bankers injured themselves . <eos>,The authors said that the bankers injured themselves .,the authors said that the bankers injured ***mask*** .,2.5373268621887076e-05
16,2,embed,nonlocal,0,a,local_subj,number,mechanics,author,injured,themselves,The mechanics said that the author injured themselves . <eos>,The mechanics said that the author injured themselves .,the mechanics said that the author injured ***mask*** .,0.0012559107819662405
17,2,embed,nonlocal,0,b,local_subj,number,authors,mechanic,injured,themselves,The authors said that the mechanic injured themselves . <eos>,The authors said that the mechanic injured themselves .,the authors said that the mechanic injured ***mask*** .,0.0042985744627456616
