item,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,embed,nonlocal,1,a,none,none,boy,father,saw,him,The boy said that the father saw him . <eos>,The boy said that the father saw him .
1,embed,nonlocal,1,b,none,none,father,boy,saw,him,The father said that the boy saw him . <eos>,The father said that the boy saw him .
1,embed,local,0,a,nonlocal_subj,number,boys,father,saw,him,The boys said that the father saw him . <eos>,The boys said that the father saw him .
1,embed,local,0,b,nonlocal_subj,number,fathers,boy,saw,him,The fathers said that the boy saw him . <eos>,The fathers said that the boy saw him .
1,embed,nonlocal,1,a,local_subj,number,boy,fathers,saw,him,The boy said that the fathers saw him . <eos>,The boy said that the fathers saw him .
1,embed,nonlocal,1,b,local_subj,number,father,boys,saw,him,The father said that the boys saw him . <eos>,The father said that the boys saw him .
2,embed,nonlocal,1,a,none,none,boy,father,established,him,The boy said that the father established him . <eos>,The boy said that the father established him .
2,embed,nonlocal,1,b,none,none,father,boy,established,him,The father said that the boy established him . <eos>,The father said that the boy established him .
2,embed,local,0,a,nonlocal_subj,number,boys,father,established,him,The boys said that the father established him . <eos>,The boys said that the father established him .
2,embed,local,0,b,nonlocal_subj,number,fathers,boy,established,him,The fathers said that the boy established him . <eos>,The fathers said that the boy established him .
2,embed,nonlocal,1,a,local_subj,number,boy,fathers,established,him,The boy said that the fathers established him . <eos>,The boy said that the fathers established him .
2,embed,nonlocal,1,b,local_subj,number,father,boys,established,him,The father said that the boys established him . <eos>,The father said that the boys established him .
3,embed,nonlocal,1,a,none,none,boy,father,devoted,him,The boy said that the father devoted him . <eos>,The boy said that the father devoted him .
3,embed,nonlocal,1,b,none,none,father,boy,devoted,him,The father said that the boy devoted him . <eos>,The father said that the boy devoted him .
3,embed,local,0,a,nonlocal_subj,number,boys,father,devoted,him,The boys said that the father devoted him . <eos>,The boys said that the father devoted him .
3,embed,local,0,b,nonlocal_subj,number,fathers,boy,devoted,him,The fathers said that the boy devoted him . <eos>,The fathers said that the boy devoted him .
