item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,rc_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,liked,embed,local,1,a,none,none,mechanic,author,hurt,himself,The mechanic that the author liked hurt himself . <eos>,The mechanic that the author liked hurt himself .
1,liked,embed,local,1,b,none,none,author,mechanic,hurt,himself,The author that the mechanic liked hurt himself . <eos>,The author that the mechanic liked hurt himself .
1,liked,embed,local,1,c,none,none,banker,author,hurt,himself,The banker that the author liked hurt himself . <eos>,The banker that the author liked hurt himself .
1,liked,embed,local,1,d,none,none,author,banker,hurt,himself,The author that the banker liked hurt himself . <eos>,The author that the banker liked hurt himself .
1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,himself,The mechanics that the author liked hurt himself . <eos>,The mechanics that the author liked hurt himself .
1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,himself,The authors that the mechanic liked hurt himself . <eos>,The authors that the mechanic liked hurt himself .
1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,himself,The bankers that the author liked hurt himself . <eos>,The bankers that the author liked hurt himself .
1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,himself,The authors that the banker liked hurt himself . <eos>,The authors that the banker liked hurt himself .
1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,himself,The mechanic that the authors liked hurt himself . <eos>,The mechanic that the authors liked hurt himself .
1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,himself,The author that the mechanics liked hurt himself . <eos>,The author that the mechanics liked hurt himself .
1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,himself,The banker that the authors liked hurt himself . <eos>,The banker that the authors liked hurt himself .
1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,himself,The author that the bankers liked hurt himself . <eos>,The author that the bankers liked hurt himself .
2,liked,embed,local,1,a,none,none,mechanic,author,injured,himself,The mechanic that the author liked injured himself . <eos>,The mechanic that the author liked injured himself .
2,liked,embed,local,1,b,none,none,author,mechanic,injured,himself,The author that the mechanic liked injured himself . <eos>,The author that the mechanic liked injured himself .
2,liked,embed,local,1,c,none,none,banker,author,injured,himself,The banker that the author liked injured himself . <eos>,The banker that the author liked injured himself .
2,liked,embed,local,1,d,none,none,author,banker,injured,himself,The author that the banker liked injured himself . <eos>,The author that the banker liked injured himself .
2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,himself,The mechanics that the author liked injured himself . <eos>,The mechanics that the author liked injured himself .
2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,himself,The authors that the mechanic liked injured himself . <eos>,The authors that the mechanic liked injured himself .
2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,himself,The bankers that the author liked injured himself . <eos>,The bankers that the author liked injured himself .
2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,himself,The authors that the banker liked injured himself . <eos>,The authors that the banker liked injured himself .
2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,himself,The mechanic that the authors liked injured himself . <eos>,The mechanic that the authors liked injured himself .
2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,himself,The author that the mechanics liked injured himself . <eos>,The author that the mechanics liked injured himself .
2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,himself,The banker that the authors liked injured himself . <eos>,The banker that the authors liked injured himself .
2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,himself,The author that the bankers liked injured himself . <eos>,The author that the bankers liked injured himself .
3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,himself,The mechanic that the author liked congratulated himself . <eos>,The mechanic that the author liked congratulated himself .
3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,himself,The author that the mechanic liked congratulated himself . <eos>,The author that the mechanic liked congratulated himself .
3,liked,embed,local,1,c,none,none,banker,author,congratulated,himself,The banker that the author liked congratulated himself . <eos>,The banker that the author liked congratulated himself .
3,liked,embed,local,1,d,none,none,author,banker,congratulated,himself,The author that the banker liked congratulated himself . <eos>,The author that the banker liked congratulated himself .
3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,himself,The mechanics that the author liked congratulated himself . <eos>,The mechanics that the author liked congratulated himself .
3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,himself,The authors that the mechanic liked congratulated himself . <eos>,The authors that the mechanic liked congratulated himself .
3,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,congratulated,himself,The bankers that the author liked congratulated himself . <eos>,The bankers that the author liked congratulated himself .
3,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,congratulated,himself,The authors that the banker liked congratulated himself . <eos>,The authors that the banker liked congratulated himself .
3,liked,embed,local,1,a,rc_subj,number,mechanic,authors,congratulated,himself,The mechanic that the authors liked congratulated himself . <eos>,The mechanic that the authors liked congratulated himself .
3,liked,embed,local,1,b,rc_subj,number,author,mechanics,congratulated,himself,The author that the mechanics liked congratulated himself . <eos>,The author that the mechanics liked congratulated himself .
3,liked,embed,local,1,c,rc_subj,number,banker,authors,congratulated,himself,The banker that the authors liked congratulated himself . <eos>,The banker that the authors liked congratulated himself .
3,liked,embed,local,1,d,rc_subj,number,author,bankers,congratulated,himself,The author that the bankers liked congratulated himself . <eos>,The author that the bankers liked congratulated himself .
4,liked,embed,local,1,a,none,none,mechanic,author,embarrassed,himself,The mechanic that the author liked embarrassed himself . <eos>,The mechanic that the author liked embarrassed himself .
4,liked,embed,local,1,b,none,none,author,mechanic,embarrassed,himself,The author that the mechanic liked embarrassed himself . <eos>,The author that the mechanic liked embarrassed himself .
4,liked,embed,local,1,c,none,none,banker,author,embarrassed,himself,The banker that the author liked embarrassed himself . <eos>,The banker that the author liked embarrassed himself .
4,liked,embed,local,1,d,none,none,author,banker,embarrassed,himself,The author that the banker liked embarrassed himself . <eos>,The author that the banker liked embarrassed himself .
4,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,embarrassed,himself,The mechanics that the author liked embarrassed himself . <eos>,The mechanics that the author liked embarrassed himself .
4,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,embarrassed,himself,The authors that the mechanic liked embarrassed himself . <eos>,The authors that the mechanic liked embarrassed himself .
4,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,embarrassed,himself,The bankers that the author liked embarrassed himself . <eos>,The bankers that the author liked embarrassed himself .
4,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,embarrassed,himself,The authors that the banker liked embarrassed himself . <eos>,The authors that the banker liked embarrassed himself .
4,liked,embed,local,1,a,rc_subj,number,mechanic,authors,embarrassed,himself,The mechanic that the authors liked embarrassed himself . <eos>,The mechanic that the authors liked embarrassed himself .
4,liked,embed,local,1,b,rc_subj,number,author,mechanics,embarrassed,himself,The author that the mechanics liked embarrassed himself . <eos>,The author that the mechanics liked embarrassed himself .
4,liked,embed,local,1,c,rc_subj,number,banker,authors,embarrassed,himself,The banker that the authors liked embarrassed himself . <eos>,The banker that the authors liked embarrassed himself .
4,liked,embed,local,1,d,rc_subj,number,author,bankers,embarrassed,himself,The author that the bankers liked embarrassed himself . <eos>,The author that the bankers liked embarrassed himself .
5,liked,embed,local,1,a,none,none,mechanic,author,disguised,himself,The mechanic that the author liked disguised himself . <eos>,The mechanic that the author liked disguised himself .
5,liked,embed,local,1,b,none,none,author,mechanic,disguised,himself,The author that the mechanic liked disguised himself . <eos>,The author that the mechanic liked disguised himself .
5,liked,embed,local,1,c,none,none,banker,author,disguised,himself,The banker that the author liked disguised himself . <eos>,The banker that the author liked disguised himself .
5,liked,embed,local,1,d,none,none,author,banker,disguised,himself,The author that the banker liked disguised himself . <eos>,The author that the banker liked disguised himself .
5,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,disguised,himself,The mechanics that the author liked disguised himself . <eos>,The mechanics that the author liked disguised himself .
5,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,disguised,himself,The authors that the mechanic liked disguised himself . <eos>,The authors that the mechanic liked disguised himself .
5,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,disguised,himself,The bankers that the author liked disguised himself . <eos>,The bankers that the author liked disguised himself .
5,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,disguised,himself,The authors that the banker liked disguised himself . <eos>,The authors that the banker liked disguised himself .
5,liked,embed,local,1,a,rc_subj,number,mechanic,authors,disguised,himself,The mechanic that the authors liked disguised himself . <eos>,The mechanic that the authors liked disguised himself .
5,liked,embed,local,1,b,rc_subj,number,author,mechanics,disguised,himself,The author that the mechanics liked disguised himself . <eos>,The author that the mechanics liked disguised himself .
5,liked,embed,local,1,c,rc_subj,number,banker,authors,disguised,himself,The banker that the authors liked disguised himself . <eos>,The banker that the authors liked disguised himself .
5,liked,embed,local,1,d,rc_subj,number,author,bankers,disguised,himself,The author that the bankers liked disguised himself . <eos>,The author that the bankers liked disguised himself .
6,liked,embed,local,1,a,none,none,mechanic,author,hated,himself,The mechanic that the author liked hated himself . <eos>,The mechanic that the author liked hated himself .
6,liked,embed,local,1,b,none,none,author,mechanic,hated,himself,The author that the mechanic liked hated himself . <eos>,The author that the mechanic liked hated himself .
6,liked,embed,local,1,c,none,none,banker,author,hated,himself,The banker that the author liked hated himself . <eos>,The banker that the author liked hated himself .
6,liked,embed,local,1,d,none,none,author,banker,hated,himself,The author that the banker liked hated himself . <eos>,The author that the banker liked hated himself .
6,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hated,himself,The mechanics that the author liked hated himself . <eos>,The mechanics that the author liked hated himself .
6,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hated,himself,The authors that the mechanic liked hated himself . <eos>,The authors that the mechanic liked hated himself .
6,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hated,himself,The bankers that the author liked hated himself . <eos>,The bankers that the author liked hated himself .
6,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hated,himself,The authors that the banker liked hated himself . <eos>,The authors that the banker liked hated himself .
6,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hated,himself,The mechanic that the authors liked hated himself . <eos>,The mechanic that the authors liked hated himself .
6,liked,embed,local,1,b,rc_subj,number,author,mechanics,hated,himself,The author that the mechanics liked hated himself . <eos>,The author that the mechanics liked hated himself .
6,liked,embed,local,1,c,rc_subj,number,banker,authors,hated,himself,The banker that the authors liked hated himself . <eos>,The banker that the authors liked hated himself .
6,liked,embed,local,1,d,rc_subj,number,author,bankers,hated,himself,The author that the bankers liked hated himself . <eos>,The author that the bankers liked hated himself .
7,liked,embed,local,1,a,none,none,mechanic,author,doubted,himself,The mechanic that the author liked doubted himself . <eos>,The mechanic that the author liked doubted himself .
7,liked,embed,local,1,b,none,none,author,mechanic,doubted,himself,The author that the mechanic liked doubted himself . <eos>,The author that the mechanic liked doubted himself .
7,liked,embed,local,1,c,none,none,banker,author,doubted,himself,The banker that the author liked doubted himself . <eos>,The banker that the author liked doubted himself .
7,liked,embed,local,1,d,none,none,author,banker,doubted,himself,The author that the banker liked doubted himself . <eos>,The author that the banker liked doubted himself .
