,item,clause_type,locality,c-command,grammatical,counterbalance,mismatch_position,mismatch_feature,matrix_subj_noun,rc_subj_noun,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,simple,local,c-command,1,a,none,none,boy,father,saw,himself,The boy that the father liked saw himself . <eos>,The boy that the father liked saw himself .,the boy that the father liked saw ***mask*** .,8.099451275533704
1,1,simple,local,c-command,1,b,none,none,father,boy,saw,himself,The father that the boy liked saw himself . <eos>,The father that the boy liked saw himself .,the father that the boy liked saw ***mask*** .,8.087131581579202
2,1,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,saw,himself,The boys that the father liked saw himself . <eos>,The boys that the father liked saw himself .,the boys that the father liked saw ***mask*** .,11.60882932178974
3,1,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,saw,himself,The fathers that the boy liked saw himself . <eos>,The fathers that the boy liked saw himself .,the fathers that the boy liked saw ***mask*** .,10.261545151465945
4,1,simple,local,c-command,1,a,rc_subj,number,boy,fathers,saw,himself,The boy that the fathers liked saw himself . <eos>,The boy that the fathers liked saw himself .,the boy that the fathers liked saw ***mask*** .,7.369199864989344
5,1,simple,local,c-command,1,b,rc_subj,number,father,boys,saw,himself,The father that the boys liked saw himself . <eos>,The father that the boys liked saw himself .,the father that the boys liked saw ***mask*** .,7.742598057047021
6,2,simple,local,c-command,1,a,none,none,boy,father,established,himself,The boy that the father liked established himself . <eos>,The boy that the father liked established himself .,the boy that the father liked established ***mask*** .,0.5172341331257307
7,2,simple,local,c-command,1,b,none,none,father,boy,established,himself,The father that the boy liked established himself . <eos>,The father that the boy liked established himself .,the father that the boy liked established ***mask*** .,1.9933053100038414
8,2,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,established,himself,The boys that the father liked established himself . <eos>,The boys that the father liked established himself .,the boys that the father liked established ***mask*** .,4.380967224996669
9,2,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,established,himself,The fathers that the boy liked established himself . <eos>,The fathers that the boy liked established himself .,the fathers that the boy liked established ***mask*** .,3.627503410610981
10,2,simple,local,c-command,1,a,rc_subj,number,boy,fathers,established,himself,The boy that the fathers liked established himself . <eos>,The boy that the fathers liked established himself .,the boy that the fathers liked established ***mask*** .,3.903149271125967
11,2,simple,local,c-command,1,b,rc_subj,number,father,boys,established,himself,The father that the boys liked established himself . <eos>,The father that the boys liked established himself .,the father that the boys liked established ***mask*** .,6.845325257981346
12,3,simple,local,c-command,1,a,none,none,boy,father,devoted,himself,The boy that the father liked devoted himself . <eos>,The boy that the father liked devoted himself .,the boy that the father liked devoted ***mask*** .,16.686234548286688
13,3,simple,local,c-command,1,b,none,none,father,boy,devoted,himself,The father that the boy liked devoted himself . <eos>,The father that the boy liked devoted himself .,the father that the boy liked devoted ***mask*** .,16.449673474841653
14,3,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,devoted,himself,The boys that the father liked devoted himself . <eos>,The boys that the father liked devoted himself .,the boys that the father liked devoted ***mask*** .,15.939603057958028
15,3,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,devoted,himself,The fathers that the boy liked devoted himself . <eos>,The fathers that the boy liked devoted himself .,the fathers that the boy liked devoted ***mask*** .,15.327708797243162
16,3,simple,local,c-command,1,a,rc_subj,number,boy,fathers,devoted,himself,The boy that the fathers liked devoted himself . <eos>,The boy that the fathers liked devoted himself .,the boy that the fathers liked devoted ***mask*** .,18.080537602952916
17,3,simple,local,c-command,1,b,rc_subj,number,father,boys,devoted,himself,The father that the boys liked devoted himself . <eos>,The father that the boys liked devoted himself .,the father that the boys liked devoted ***mask*** .,16.649524497082332
18,4,simple,local,c-command,1,a,none,none,boy,father,considered,himself,The boy that the father liked considered himself . <eos>,The boy that the father liked considered himself .,the boy that the father liked considered ***mask*** .,4.601667942921369
19,4,simple,local,c-command,1,b,none,none,father,boy,considered,himself,The father that the boy liked considered himself . <eos>,The father that the boy liked considered himself .,the father that the boy liked considered ***mask*** .,4.718772180130339
20,4,simple,local,no-c-command,0,a,matrix_subj,number,boys,father,considered,himself,The boys that the father liked considered himself . <eos>,The boys that the father liked considered himself .,the boys that the father liked considered ***mask*** .,8.554439239903706
21,4,simple,local,no-c-command,0,b,matrix_subj,number,fathers,boy,considered,himself,The fathers that the boy liked considered himself . <eos>,The fathers that the boy liked considered himself .,the fathers that the boy liked considered ***mask*** .,8.719266604229631
22,4,simple,local,c-command,1,a,rc_subj,number,boy,fathers,considered,himself,The boy that the fathers liked considered himself . <eos>,The boy that the fathers liked considered himself .,the boy that the fathers liked considered ***mask*** .,4.307989039531201
