item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos
1,liked,embed,local,1,a,none,none,mechanics,authors,hurt,themselves,The mechanics that the authors liked hurt themselves . <eos>,The mechanics that the authors liked hurt themselves .
1,liked,embed,local,1,b,none,none,authors,mechanics,hurt,themselves,The authors that the mechanics liked hurt themselves . <eos>,The authors that the mechanics liked hurt themselves .
1,liked,embed,local,1,c,none,none,bankers,authors,hurt,themselves,The bankers that the authors liked hurt themselves . <eos>,The bankers that the authors liked hurt themselves .
1,liked,embed,local,1,d,none,none,authors,bankers,hurt,themselves,The authors that the bankers liked hurt themselves . <eos>,The authors that the bankers liked hurt themselves .
1,liked,embed,local,1,a,rc_subj,number,mechanics,author,hurt,themselves,The mechanics that the author liked hurt themselves . <eos>,The mechanics that the author liked hurt themselves .
1,liked,embed,local,1,b,rc_subj,number,authors,mechanic,hurt,themselves,The authors that the mechanic liked hurt themselves . <eos>,The authors that the mechanic liked hurt themselves .
1,liked,embed,local,1,c,rc_subj,number,bankers,author,hurt,themselves,The bankers that the author liked hurt themselves . <eos>,The bankers that the author liked hurt themselves .
1,liked,embed,local,1,d,rc_subj,number,authors,banker,hurt,themselves,The authors that the banker liked hurt themselves . <eos>,The authors that the banker liked hurt themselves .
1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanic,authors,hurt,themselves,The mechanic that the authors liked hurt themselves . <eos>,The mechanic that the authors liked hurt themselves .
1,liked,embed,nonlocal,0,b,matrix_subj,number,author,mechanics,hurt,themselves,The author that the mechanics liked hurt themselves . <eos>,The author that the mechanics liked hurt themselves .
1,liked,embed,nonlocal,0,c,matrix_subj,number,banker,authors,hurt,themselves,The banker that the authors liked hurt themselves . <eos>,The banker that the authors liked hurt themselves .
1,liked,embed,nonlocal,0,d,matrix_subj,number,author,bankers,hurt,themselves,The author that the bankers liked hurt themselves . <eos>,The author that the bankers liked hurt themselves .
2,liked,embed,local,1,a,none,none,mechanics,authors,injured,themselves,The mechanics that the authors liked injured themselves . <eos>,The mechanics that the authors liked injured themselves .
2,liked,embed,local,1,b,none,none,authors,mechanics,injured,themselves,The authors that the mechanics liked injured themselves . <eos>,The authors that the mechanics liked injured themselves .
2,liked,embed,local,1,c,none,none,bankers,authors,injured,themselves,The bankers that the authors liked injured themselves . <eos>,The bankers that the authors liked injured themselves .
2,liked,embed,local,1,d,none,none,authors,bankers,injured,themselves,The authors that the bankers liked injured themselves . <eos>,The authors that the bankers liked injured themselves .
