,item,RC_verb,clause_type,locality,grammatical,counterbalance,mismatch_position,mismatch_feature,nonlocal_subj,local_sub,verb,pronoun,sentence,sentence_no_eos,bert_sentence,surprisal
0,1,liked,embed,local,1,a,none,none,mechanic,author,hurt,herself,The mechanic that the author liked hurt herself . <eos>,The mechanic that the author liked hurt herself .,the mechanic that the author liked hurt ***mask*** .,10.887705747724809
1,1,liked,embed,local,1,b,none,none,author,mechanic,hurt,herself,The author that the mechanic liked hurt herself . <eos>,The author that the mechanic liked hurt herself .,the author that the mechanic liked hurt ***mask*** .,8.857024186032465
2,1,liked,embed,local,1,c,none,none,banker,author,hurt,herself,The banker that the author liked hurt herself . <eos>,The banker that the author liked hurt herself .,the banker that the author liked hurt ***mask*** .,11.21559888882829
3,1,liked,embed,local,1,d,none,none,author,banker,hurt,herself,The author that the banker liked hurt herself . <eos>,The author that the banker liked hurt herself .,the author that the banker liked hurt ***mask*** .,9.777926961226962
4,1,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,hurt,herself,The mechanics that the author liked hurt herself . <eos>,The mechanics that the author liked hurt herself .,the mechanics that the author liked hurt ***mask*** .,12.351488480621363
5,1,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,hurt,herself,The authors that the mechanic liked hurt herself . <eos>,The authors that the mechanic liked hurt herself .,the authors that the mechanic liked hurt ***mask*** .,12.041951897655881
6,1,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,hurt,herself,The bankers that the author liked hurt herself . <eos>,The bankers that the author liked hurt herself .,the bankers that the author liked hurt ***mask*** .,12.020786867791843
7,1,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,hurt,herself,The authors that the banker liked hurt herself . <eos>,The authors that the banker liked hurt herself .,the authors that the banker liked hurt ***mask*** .,12.4817490607749
8,1,liked,embed,local,1,a,rc_subj,number,mechanic,authors,hurt,herself,The mechanic that the authors liked hurt herself . <eos>,The mechanic that the authors liked hurt herself .,the mechanic that the authors liked hurt ***mask*** .,11.373389486851899
9,1,liked,embed,local,1,b,rc_subj,number,author,mechanics,hurt,herself,The author that the mechanics liked hurt herself . <eos>,The author that the mechanics liked hurt herself .,the author that the mechanics liked hurt ***mask*** .,9.571793708304902
10,1,liked,embed,local,1,c,rc_subj,number,banker,authors,hurt,herself,The banker that the authors liked hurt herself . <eos>,The banker that the authors liked hurt herself .,the banker that the authors liked hurt ***mask*** .,12.020157050386656
11,1,liked,embed,local,1,d,rc_subj,number,author,bankers,hurt,herself,The author that the bankers liked hurt herself . <eos>,The author that the bankers liked hurt herself .,the author that the bankers liked hurt ***mask*** .,10.552252854749693
12,2,liked,embed,local,1,a,none,none,mechanic,author,injured,herself,The mechanic that the author liked injured herself . <eos>,The mechanic that the author liked injured herself .,the mechanic that the author liked injured ***mask*** .,11.235373364982115
13,2,liked,embed,local,1,b,none,none,author,mechanic,injured,herself,The author that the mechanic liked injured herself . <eos>,The author that the mechanic liked injured herself .,the author that the mechanic liked injured ***mask*** .,14.17618944237229
14,2,liked,embed,local,1,c,none,none,banker,author,injured,herself,The banker that the author liked injured herself . <eos>,The banker that the author liked injured herself .,the banker that the author liked injured ***mask*** .,14.877760475528461
15,2,liked,embed,local,1,d,none,none,author,banker,injured,herself,The author that the banker liked injured herself . <eos>,The author that the banker liked injured herself .,the author that the banker liked injured ***mask*** .,16.105368903417492
16,2,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,injured,herself,The mechanics that the author liked injured herself . <eos>,The mechanics that the author liked injured herself .,the mechanics that the author liked injured ***mask*** .,13.094838981026058
17,2,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,injured,herself,The authors that the mechanic liked injured herself . <eos>,The authors that the mechanic liked injured herself .,the authors that the mechanic liked injured ***mask*** .,12.981045987847327
18,2,liked,embed,nonlocal,0,c,matrix_subj,number,bankers,author,injured,herself,The bankers that the author liked injured herself . <eos>,The bankers that the author liked injured herself .,the bankers that the author liked injured ***mask*** .,12.646374605656757
19,2,liked,embed,nonlocal,0,d,matrix_subj,number,authors,banker,injured,herself,The authors that the banker liked injured herself . <eos>,The authors that the banker liked injured herself .,the authors that the banker liked injured ***mask*** .,13.427351115820965
20,2,liked,embed,local,1,a,rc_subj,number,mechanic,authors,injured,herself,The mechanic that the authors liked injured herself . <eos>,The mechanic that the authors liked injured herself .,the mechanic that the authors liked injured ***mask*** .,10.485210592390764
21,2,liked,embed,local,1,b,rc_subj,number,author,mechanics,injured,herself,The author that the mechanics liked injured herself . <eos>,The author that the mechanics liked injured herself .,the author that the mechanics liked injured ***mask*** .,16.66972617692023
22,2,liked,embed,local,1,c,rc_subj,number,banker,authors,injured,herself,The banker that the authors liked injured herself . <eos>,The banker that the authors liked injured herself .,the banker that the authors liked injured ***mask*** .,12.513619132049852
23,2,liked,embed,local,1,d,rc_subj,number,author,bankers,injured,herself,The author that the bankers liked injured herself . <eos>,The author that the bankers liked injured herself .,the author that the bankers liked injured ***mask*** .,17.585906693407658
24,3,liked,embed,local,1,a,none,none,mechanic,author,congratulated,herself,The mechanic that the author liked congratulated herself . <eos>,The mechanic that the author liked congratulated herself .,the mechanic that the author liked congratulated ***mask*** .,9.357301759318963
25,3,liked,embed,local,1,b,none,none,author,mechanic,congratulated,herself,The author that the mechanic liked congratulated herself . <eos>,The author that the mechanic liked congratulated herself .,the author that the mechanic liked congratulated ***mask*** .,8.628846189292615
26,3,liked,embed,local,1,c,none,none,banker,author,congratulated,herself,The banker that the author liked congratulated herself . <eos>,The banker that the author liked congratulated herself .,the banker that the author liked congratulated ***mask*** .,8.741074458501682
27,3,liked,embed,local,1,d,none,none,author,banker,congratulated,herself,The author that the banker liked congratulated herself . <eos>,The author that the banker liked congratulated herself .,the author that the banker liked congratulated ***mask*** .,9.001174345408987
28,3,liked,embed,nonlocal,0,a,matrix_subj,number,mechanics,author,congratulated,herself,The mechanics that the author liked congratulated herself . <eos>,The mechanics that the author liked congratulated herself .,the mechanics that the author liked congratulated ***mask*** .,10.023528348346224
29,3,liked,embed,nonlocal,0,b,matrix_subj,number,authors,mechanic,congratulated,herself,The authors that the mechanic liked congratulated herself . <eos>,The authors that the mechanic liked congratulated herself .,the authors that the mechanic liked congratulated ***mask*** .,9.231910196197509
